iter	Passed	Remaining
0	214	21227
1	236	11580
2	258	8352
3	277	6648
4	295	5613
5	313	4916
6	332	4414
7	351	4037
8	370	3748
9	389	3509
10	411	3331
11	430	3157
12	449	3005
13	469	2882
14	488	2769
15	507	2666
16	526	2571
17	546	2487
18	565	2412
19	585	2343
20	605	2276
21	629	2231
22	651	2180
23	673	2133
24	694	2084
25	714	2032
26	740	2001
27	767	1973
28	793	1943
29	816	1905
30	839	1868
31	865	1838
32	891	1810
33	914	1775
34	935	1737
35	959	1705
36	983	1675
37	1006	1642
38	1030	1611
39	1054	1581
40	1077	1549
41	1100	1519
42	1121	1486
43	1143	1455
44	1162	1420
45	1181	1386
46	1200	1353
47	1219	1321
48	1238	1288
49	1255	1255
50	1277	1227
51	1297	1197
52	1317	1168
53	1336	1138
54	1355	1108
55	1375	1080
56	1397	1054
57	1417	1026
58	1436	998
59	1456	971
60	1477	944
61	1495	916
62	1515	890
63	1535	863
64	1555	837
65	1574	811
66	1593	785
67	1613	759
68	1632	733
69	1653	708
70	1672	683
71	1691	657
72	1710	632
73	1732	608
74	1760	586
75	1787	564
76	1809	540
77	1831	516
78	1854	492
79	1877	469
80	1897	445
81	1919	421
82	1942	397
83	1965	374
84	1988	350
85	2007	326
86	2027	302
87	2046	279
88	2068	255
89	2089	232
90	2109	208
91	2129	185
92	2147	161
93	2167	138
94	2187	115
95	2209	92
96	2230	68
97	2249	45
98	2271	22
99	2290	0
