iter	Logloss
0	0.5044792982
1	0.484089892
2	0.4731652903
3	0.4693223799
4	0.4657761747
5	0.4633647326
6	0.4612390993
7	0.4592091319
8	0.4566795534
9	0.4550185474
10	0.4534093413
11	0.4525749271
12	0.4519970629
13	0.4502736677
14	0.4491908874
15	0.448275398
16	0.446960025
17	0.445813347
18	0.444546046
19	0.4432016091
20	0.4429516733
21	0.4418690888
22	0.4408533059
23	0.4398366867
24	0.4389829711
25	0.4382959379
26	0.4374433432
27	0.4357348331
28	0.4344760758
29	0.4338883376
30	0.4333909599
31	0.432447575
32	0.4315236553
33	0.4310994627
34	0.4306363264
35	0.4296196591
36	0.4288794902
37	0.4282665942
38	0.4273954591
39	0.4267367415
40	0.425995176
41	0.4253202014
42	0.4246782995
43	0.4243846671
44	0.4237487262
45	0.422884147
46	0.4221762977
47	0.4215726164
48	0.421140549
49	0.4211252333
50	0.4204940825
51	0.4196286384
52	0.4190543888
53	0.4185128486
54	0.4178790597
55	0.4174781644
56	0.4170169869
57	0.416547438
58	0.4161928533
59	0.4157291837
60	0.4153902656
61	0.4148856261
62	0.4141694101
63	0.4133558657
64	0.4128684449
65	0.4123489202
66	0.4121093517
67	0.4118671481
68	0.4115797723
69	0.4108491507
70	0.4103437538
71	0.4096141937
72	0.409243774
73	0.4086319794
74	0.4082920142
75	0.4077763834
76	0.4073388571
77	0.4070723903
78	0.4066898544
79	0.4066315718
80	0.4063214653
81	0.4060266665
82	0.4057547812
83	0.4053362517
84	0.4049765121
85	0.4046528729
86	0.4042272226
87	0.4038179987
88	0.4033363533
89	0.4030268547
90	0.4025201799
91	0.4021948576
92	0.4020367608
93	0.4016286811
94	0.401343397
95	0.4008342228
96	0.4005452222
97	0.4005398631
98	0.4000107531
99	0.3996739084
