Index,bldg_nm,X 좌표,Y 좌표
0,창덕에버빌2차아파트,127.6102191,34.9731435
1,금광1차아파트,127.6901136,34.9347278
2,진아리채2차아파트,127.6871228,34.9382359
3,목성아파트,127.591784,34.9782663
4,남해오네뜨,127.6104189,34.9679517
5,중마2주공아파트,127.6858901,34.9457059
6,마동주공아파트,127.689441,34.9563433
7,e편한세상광양아파트,127.6988982,34.9392122
8,태영1차아파트,127.6970869,34.9346192
9,진아리채1차아파트,127.696507,34.9494108
10,광영현대아파트,127.7160594,34.9657476
11,광양송보파인빌7차아파트,127.6125244,34.9696532
12,중마부영2차아파트,127.6934343,34.9425069
13,중마부영1차아파트,127.7006838,34.9418849
14,로데오아파트,127.713729,34.9651562
15,창덕에버빌1차아파트,127.6090073,34.974636
16,대림아파트,127.5650436,34.9690057
17,광양광영사랑으로부영2차,127.7275536,34.9603471
18,광양마동자연애아파트,127.6889754,34.9549448
19,광양송보파인빌6차아파트,127.6919604,34.9560702
20,광양송보파인빌5차아파트,127.6893217,34.9531247
21,덕진광양의봄아파트,127.5742148,34.9764752
22,중마시영아파트,127.6859273,34.9417125
23,영신 그린빌,127.5727406,34.9629842
24,선우아파트,127.6922794,34.9410166
25,태영2차아파트,127.6957296,34.9346158
26,성호2차아파트,127.690977,34.9321698
27,송보 파인빌 뷰아파트,127.6912788,34.9538779
28,효성아파트,127.5700062,34.96448
29,광양 송보타워 아파트,127.6923843,34.9539709
30,광동아파트,127.5924886,34.9753209
31,신광맨션고층아파트,127.5868225,34.9782856
32,동원아파트,127.5913395,34.9817535
33,동원스타네옴,127.697559,34.9432023
34,스튜디오24원룸,127.688443,34.9451896
35,서울원룸,127.6872748,34.9414365
36,대성빌라,127.5819322,34.9686052
37,우주빌라,127.72152,34.963552
