,bldg_nm,X 좌표,Y 좌표,비고
0,금호동 목련빌라,127.7284291,34.940588899999995,
1,금호동 송죽아파트,127.7184496,34.93926810000001,
2,금호동 동백아파트,127.7310154,34.9363848,
3,금호동 매화아파트,127.7203973,34.936324799999994,
4,금호동 초원아파트,127.7202479,34.9383978,
5,금호동 목련연립아파트,127.7326751,34.9376956,
6,금호동 장미연립아파트1,127.733266,34.941267,
7,성호2차아파트,127.690977,34.9321698,
8,e편한세상광양아파트,127.6988982,34.9392122,
9,칠성주공아파트,127.58305530000001,34.982527600000004,
10,무등파크맨션아파트,127.68986559999999,34.9453555,
11,금광1차아파트,127.69011359999999,34.9347278,
12,진아리채2차아파트,127.68712279999998,34.9382359,
13,오성타워맨션아파트,127.5767913,34.9652881,
14,칠성e-편한세상아파트,127.5754387,34.9748929,
15,대림아파트,127.5650436,34.969005700000004,
16,남해오네뜨,127.6104189,34.96795170000001,
17,덕례수시아아파트,127.56840359999998,34.9693872,
18,태완노블리안아파트,127.70135559999999,34.943797700000005,
19,광양마동자연애아파트,127.68897539999999,34.9549448,
20,창덕에버빌2차아파트,127.61021909999998,34.9731435,
21,덕진광양의봄아파트,127.57421480000001,34.9764752,
22,태영2차아파트,127.69572959999998,34.9346158,
23,태영1차아파트,127.69708689999999,34.93461920000001,
24,매화마을주공아파트,127.57890990000001,34.983559,
25,중마2주공아파트,127.68589009999998,34.9457059,
26,광양송보파인빌7차아파트,127.6125244,34.9696532,
27,중마부영1차아파트,127.7006838,34.9418849,
28,가야아파트,127.71495130000001,34.966349,
29,브라운스톤가야아파트,127.7124503,34.964441,
30,창덕에버빌1차아파트,127.60900729999999,34.974636,
31,화진그린맨션,127.6997718,34.9908592,
32,중마부영2차아파트,127.69343429999999,34.9425069,
33,덕진광양의봄2단지아파트,127.70091310000001,34.9511165,
34,금광블루빌아파트,127.6871123,34.955399799999995,
35,광영주공아파트,127.7201116,34.9656308,
36,광양광영사랑으로부영2차,127.72755359999998,34.9603471,
37,영신 그린빌,127.57274059999999,34.9629842,
38,광영상아아파트,127.71808200000001,34.9667169,
39,대광로제비앙2차아파트,127.68873529999999,34.951843200000006,
40,광양써니밸리아파트,127.6875892,34.9509297,
41,선미태인하이츠아파트,127.74880590000001,34.942922499999995,
42,광영현대아파트,127.7160594,34.9657476,
43,중마노르웨이숲아파트,127.6946384,34.9513984,
44,광양부영아파트,127.5836805,34.967214,
